Sr. No.,CCMS NO,Zone,Latitude,Longitude,Type of Light,No. Of Lights,Wattage,Ward No.,Wattage,Connected Load,,,,
1,NZ-133-034,NAJAFGARH,28.553436,76.943382,LED,2,80X2,133,80,160,,,,
2,NZ-133-034,NAJAFGARH,28.553451,76.943354,LED,1,80,133,80,80,,,,
3,NZ-133-034,NAJAFGARH,28.553497,76.943336,LED,1,80,133,80,80,,,1.44MW,
4,NZ-133-034,NAJAFGARH,28.553545,76.943268,LED,1,80,133,80,80,,,,
5,NZ-133-034,NAJAFGARH,28.553674,76.943075,LED,2,80X2,133,80,160,,,,
6,NZ-133-034,NAJAFGARH,28.55369,76.943083,LED,1,80,133,80,80,,,,
7,NZ-133-034,NAJAFGARH,28.553668,76.943113,LED,1,80,133,80,80,,,CCMS NO,Sum of Connected Load
8,NZ-133-034,NAJAFGARH,28.553648,76.943148,LED,1,70,133,70,70,,,,0
9,NZ-133-034,NAJAFGARH,28.553636,76.94316,LED,2,80X2,133,80,160,,,100026,2312
10,NZ-133-034,NAJAFGARH,28.553621,76.943171,LED,1,80,133,80,80,,,100089,6680
11,NZ-133-034,NAJAFGARH,28.553613,76.943192,LED,1,80,133,80,80,,,100091,6752
12,NZ-133-034,NAJAFGARH,28.553589,76.943221,LED,1,80,133,80,80,,,100099,9032
13,NZ-133-034,NAJAFGARH,28.553569,76.943255,LED,1,80,133,80,80,,,100129,10560
14,NZ-133-034,NAJAFGARH,28.553459,76.943395,LED,1,80,133,80,80,,,100135,6664
15,NZ-133-034,NAJAFGARH,28.553465,76.943384,LED,1,80,133,80,80,,,100139,24144
16,NZ-133-034,NAJAFGARH,28.553488,76.943361,LED,1,80,133,80,80,,,100143,8400
17,NZ-133-034,NAJAFGARH,28.553528,76.943295,LED,1,80,133,80,80,,,100144,11744
18,NZ-133-034,NAJAFGARH,28.553558,76.943239,LED,1,80,133,80,80,,,100152,10864
19,NZ-133-034,NAJAFGARH,28.553674,76.943062,LED,1,80,133,80,80,,,100158,7672
20,NZ-133-034,NAJAFGARH,28.55374,76.942949,LED,1,80,133,80,80,,,100166,3550
21,NZ-133-034,NAJAFGARH,28.553785,76.942881,LED,1,80,133,80,80,,,100175,13535
22,NZ-133-034,NAJAFGARH,28.553797,76.942858,LED,1,80,133,80,80,,,100177,2030
23,NZ-133-034,NAJAFGARH,28.553874,76.942735,LED,1,80,133,80,80,,,100186,10450
24,NZ-133-034,NAJAFGARH,28.553888,76.94271,LED,2,80X2,133,80,160,,,100220,6452
25,NZ-133-034,NAJAFGARH,28.554155,76.942298,LED,1,80,133,80,80,,,100223,4232
26,NZ-133-034,NAJAFGARH,28.554198,76.942233,LED,1,80,133,80,80,,,100234,1760
27,NZ-133-034,NAJAFGARH,28.554258,76.942133,LED,1,80,133,80,80,,,100235,3040
28,NZ-133-034,NAJAFGARH,28.554285,76.942094,LED,1,80,133,80,80,,,100242,4180
29,NZ-133-034,NAJAFGARH,28.554311,76.942066,LED,1,80,133,80,80,,,100243,2640
30,NZ-133-034,NAJAFGARH,28.554336,76.942041,LED,1,80,133,80,80,,,100252,3595
31,NZ-133-034,NAJAFGARH,28.554353,76.942016,LED,1,80,133,80,80,,,100260,6400
32,NZ-133-034,NAJAFGARH,28.55437,76.941976,LED,4,72X4,133,72,288,,,100262,1600
33,NZ-133-034,NAJAFGARH,28.554383,76.941951,LED,1,80,133,80,80,,,100266,2120
34,NZ-133-034,NAJAFGARH,28.554392,76.941931,LED,1,80,133,80,80,,,100271,3560
35,NZ-133-034,NAJAFGARH,28.554415,76.941889,LED,1,80,133,80,80,,,100284,3160
36,NZ-133-034,NAJAFGARH,28.554439,76.941877,LED,1,80,133,80,80,,,100303,3520
37,NZ-133-034,NAJAFGARH,28.554474,76.941845,LED,1,80,133,80,80,,,100318,3120
38,NZ-133-034,NAJAFGARH,28.554501,76.941815,LED,1,80,133,80,80,,,100320,2460
39,NZ-133-034,NAJAFGARH,28.554532,76.941779,LED,1,80,133,80,80,,,100323,6022
40,NZ-133-034,NAJAFGARH,28.554543,76.941754,LED,1,80,133,80,80,,,100327,2560
41,NZ-133-034,NAJAFGARH,28.554558,76.94171,LED,1,80,133,80,80,,,100340,3440
42,NZ-133-034,NAJAFGARH,28.554564,76.94169,LED,1,80,133,80,80,,,100351,2480
43,NZ-133-034,NAJAFGARH,28.554584,76.941643,LED,1,80,133,80,80,,,100355,1120
44,NZ-133-034,NAJAFGARH,28.554599,76.941622,LED,1,80,133,80,80,,,100357,7610
45,NZ-133-034,NAJAFGARH,28.554615,76.941593,LED,1,80,133,80,80,,,100362,2560
46,NZ-133-034,NAJAFGARH,28.554633,76.941571,LED,1,80,133,80,80,,,100363,3440
47,NZ-133-034,NAJAFGARH,28.554646,76.941545,LED,1,80,133,80,80,,,100367,8440
48,NZ-133-034,NAJAFGARH,28.554661,76.941522,LED,2,80X2,133,80,160,,,100372,4560
49,NZ-133-034,NAJAFGARH,28.554679,76.94149,LED,1,80,133,80,80,,,100382,3158
50,NZ-133-034,NAJAFGARH,28.55469,76.94147,LED,1,80,133,80,80,,,100387,3480
51,NZ-133-034,NAJAFGARH,28.55473,76.941414,LED,1,80,133,80,80,,,100396,3364
52,NZ-133-034,NAJAFGARH,28.554743,76.941396,LED,1,80,133,80,80,,,100404,3320
53,NZ-133-034,NAJAFGARH,28.554769,76.941363,LED,1,80,133,80,80,,,100405,1440
54,NZ-133-034,NAJAFGARH,28.554792,76.941337,LED,1,80,133,80,80,,,100408,1280
55,NZ-133-034,NAJAFGARH,28.554863,76.941203,LED,1,70,133,70,70,,,100409,3390
56,NZ-133-034,NAJAFGARH,28.554864,76.9412,LED,1,70,133,70,70,,,100421,6080
57,NZ-133-034,NAJAFGARH,28.554823,76.941271,LED,1,80,133,80,80,,,100423,3215
58,NZ-133-034,NAJAFGARH,28.554706,76.941457,LED,1,80,133,80,80,,,100426,2520
59,NZ-133-034,NAJAFGARH,28.554692,76.941485,LED,1,80,133,80,80,,,100436,5480
60,NZ-133-034,NAJAFGARH,28.554677,76.941512,LED,1,80,133,80,80,,,100437,2160
61,NZ-133-034,NAJAFGARH,28.554649,76.941555,LED,1,80,133,80,80,,,100442,6952
62,NZ-133-034,NAJAFGARH,28.554623,76.941595,LED,1,80,133,80,80,,,100444,3460
63,NZ-133-034,NAJAFGARH,28.554614,76.941618,LED,1,80,133,80,80,,,100446,3914
64,NZ-133-034,NAJAFGARH,28.554601,76.941639,LED,1,80,133,80,80,,,100448,4960
65,NZ-133-034,NAJAFGARH,28.554584,76.941661,LED,1,80,133,80,80,,,100454,4390
66,NZ-133-034,NAJAFGARH,28.55456,76.941707,LED,1,80,133,80,80,,,100456,3584
67,NZ-133-034,NAJAFGARH,28.554536,76.941752,LED,1,80,133,80,80,,,100462,2160
68,NZ-133-034,NAJAFGARH,28.554503,76.941827,LED,1,80,133,80,80,,,100468,4266
69,NZ-133-034,NAJAFGARH,28.554432,76.94185,LED,1,80,133,80,80,,,100470,2520
70,NZ-133-034,NAJAFGARH,28.554409,76.941835,LED,1,80,133,80,80,,,100475,1080
71,NZ-133-034,NAJAFGARH,28.554384,76.941821,LED,1,80,133,80,80,,,100476,6640
72,NZ-133-034,NAJAFGARH,28.55436,76.941806,LED,1,80,133,80,80,,,100593,12584
73,NZ-133-034,NAJAFGARH,28.554341,76.941795,LED,1,80,133,80,80,,,100955,13760
74,NZ-133-034,NAJAFGARH,28.554322,76.941778,LED,1,80,133,80,80,,,100966,10334
75,NZ-133-034,NAJAFGARH,28.554297,76.941767,LED,1,80,133,80,80,,,214391,6452
76,NZ-133-034,NAJAFGARH,28.554268,76.941759,LED,1,80,133,80,80,,,214396,8810
77,NZ-133-034,NAJAFGARH,28.554148,76.941695,LED,1,80,133,80,80,,,214397,4320
78,NZ-133-034,NAJAFGARH,28.554143,76.941693,LED,1,80,133,80,80,,,214398,9482
79,NZ-133-034,NAJAFGARH,28.554141,76.941692,LED,1,80,133,80,80,,,214399,6160
80,NZ-133-034,NAJAFGARH,28.554094,76.94167,LED,1,80,133,80,80,,,214412,6140
81,NZ-133-034,NAJAFGARH,28.554074,76.94166,LED,2,80X2,133,80,160,,,214419,4680
82,NZ-133-034,NAJAFGARH,28.554008,76.941623,LED,1,80,133,80,80,,,214451,3640
83,NZ-133-034,NAJAFGARH,28.553976,76.941601,LED,1,80,133,80,80,,,214463,21575
84,NZ-133-034,NAJAFGARH,28.554131,76.941685,LED,1,80,133,80,80,,,214469,9200
85,NZ-133-034,NAJAFGARH,28.554157,76.941692,LED,2,80X2,133,80,160,,,491802,6525
86,NZ-133-034,NAJAFGARH,28.554178,76.941712,LED,1,80,133,80,80,,,491804,5057
87,NZ-133-034,NAJAFGARH,28.554228,76.941736,LED,1,80,133,80,80,,,491808,7780
88,NZ-133-034,NAJAFGARH,28.554256,76.941753,LED,1,80,133,80,80,,,491815,2404
89,NZ-133-034,NAJAFGARH,28.554286,76.941777,LED,1,80,133,80,80,,,491818,2265
90,NZ-133-034,NAJAFGARH,28.554315,76.941793,LED,1,80,133,80,80,,,491829,9387
91,NZ-133-034,NAJAFGARH,28.55435,76.941818,LED,2,80X2,133,80,160,,,491832,19490
92,NZ-133-034,NAJAFGARH,28.554381,76.94184,LED,1,80,133,80,80,,,491839,1200
93,NZ-133-034,NAJAFGARH,28.554401,76.941843,LED,1,80,133,80,80,,,491842,2520
94,NZ-133-034,NAJAFGARH,28.554433,76.941884,LED,1,80,133,80,80,,,491843,2760
95,NZ-133-034,NAJAFGARH,28.554392,76.94194,LED,2,80X2,133,80,160,,,491873,4600
96,NZ-133-034,NAJAFGARH,28.554373,76.941969,LED,1,80,133,80,80,,,491963,8075
97,NZ-133-034,NAJAFGARH,28.554346,76.942011,LED,1,80,133,80,80,,,491971,6480
98,NZ-133-034,NAJAFGARH,28.554311,76.942057,LED,1,80,133,80,80,,,491990,16310
99,NZ-133-034,NAJAFGARH,28.554299,76.942085,LED,1,80,133,80,80,,,491991,9900
100,NZ-133-034,NAJAFGARH,28.554278,76.942131,LED,1,80,133,80,80,,,491996,3247
101,NZ-133-034,NAJAFGARH,28.554258,76.94217,LED,1,80,133,80,80,,,491998,8000
102,NZ-133-034,NAJAFGARH,28.554216,76.942232,LED,2,80X2,133,80,160,,,511004,9392
103,NZ-133-034,NAJAFGARH,28.554143,76.94237,LED,1,80,133,80,80,,,511018,2800
104,NZ-133-034,NAJAFGARH,28.554122,76.942394,LED,1,80,133,80,80,,,511019,240
105,NZ-133-034,NAJAFGARH,28.554096,76.942421,LED,1,80,133,80,80,,,511037,12752
106,NZ-133-034,NAJAFGARH,28.554075,76.942444,LED,1,80,133,80,80,,,511050,3350
107,NZ-133-034,NAJAFGARH,28.554059,76.942472,LED,1,80,133,80,80,,,511052,8050
108,NZ-133-034,NAJAFGARH,28.554041,76.942493,LED,1,80,133,80,80,,,511058,3360
109,NZ-133-034,NAJAFGARH,28.554023,76.942521,LED,2,80X2,133,80,160,,,511059,12142
110,NZ-133-034,NAJAFGARH,28.553971,76.942607,LED,1,80,133,80,80,,,511067,10058
111,NZ-133-034,NAJAFGARH,28.553908,76.942694,LED,1,80,133,80,80,,,511074,8622
112,NZ-133-034,NAJAFGARH,28.553902,76.942711,LED,2,80X2,133,80,160,,,511112,6739
113,NZ-133-034,NAJAFGARH,28.553888,76.94273,LED,1,80,133,80,80,,,511113,2600
114,NZ-133-034,NAJAFGARH,28.553878,76.942749,LED,1,80,133,80,80,,,511156,5572
115,NZ-133-034,NAJAFGARH,28.553862,76.942778,LED,1,80,133,80,80,,,511158,4240
116,NZ-133-034,NAJAFGARH,28.55385,76.9428,LED,1,80,133,80,80,,,511161,7080
117,NZ-133-034,NAJAFGARH,28.553842,76.942821,LED,2,80X2,133,80,160,,,511162,5240
118,NZ-133-034,NAJAFGARH,28.553827,76.942847,LED,1,80,133,80,80,,,511174,7416
119,NZ-133-034,NAJAFGARH,28.553798,76.942888,LED,1,80,133,80,80,,,511175,4720
120,NZ-133-034,NAJAFGARH,28.553776,76.942919,LED,1,80,133,80,80,,,511178,8080
121,NZ-133-034,NAJAFGARH,28.553757,76.942949,LED,1,80,133,80,80,,,511187,5654
122,NZ-133-034,NAJAFGARH,28.553743,76.942966,LED,1,80,133,80,80,,,511189,3360
123,NZ-133-034,NAJAFGARH,28.553715,76.942998,LED,1,80,133,80,80,,,511193,4729
124,NZ-133-034,NAJAFGARH,28.553693,76.943026,LED,1,80,133,80,80,,,511195,6691
125,NZ-133-034,NAJAFGARH,28.553671,76.943058,LED,1,80,133,80,80,,,511206,3840
126,NZ-133-034,NAJAFGARH,28.55366,76.94308,LED,1,80,133,80,80,,,511223,3984
1,NZ-133-018,NAJAFGARH,28.523351,76.986562,LED,1,80,133,80,80,,,511228,800
2,NZ-133-018,NAJAFGARH,28.523355,76.986552,LED,1,80,133,80,80,,,511239,6769
3,NZ-133-018,NAJAFGARH,28.523224,76.986555,LED,1,80,133,80,80,,,511281,6920
4,NZ-133-018,NAJAFGARH,28.5221,76.986594,LED,1,80,133,80,80,,,511292,3160
5,NZ-133-018,NAJAFGARH,28.522033,76.986595,LED,1,80,133,80,80,,,511610,5277
6,NZ-133-018,NAJAFGARH,28.521889,76.986594,LED,1,80,133,80,80,,,511623,7768
7,NZ-133-018,NAJAFGARH,28.521637,76.986573,LED,1,80,133,80,80,,,511629,5852
8,NZ-133-018,NAJAFGARH,28.52147,76.98651,LED,1,80,133,80,80,,,511641,4315
9,NZ-133-018,NAJAFGARH,28.521363,76.986451,LED,1,80,133,80,80,,,511655,2769
10,NZ-133-018,NAJAFGARH,28.521227,76.986358,LED,1,80,133,80,80,,,511658,5893
11,NZ-133-018,NAJAFGARH,28.521123,76.986285,LED,1,80,133,80,80,,,511668,3200
12,NZ-133-018,NAJAFGARH,28.521018,76.986215,LED,1,80,133,80,80,,,512702,3218
13,NZ-133-018,NAJAFGARH,28.520224,76.985559,LED,1,80,133,80,80,,,512706,5421
14,NZ-133-018,NAJAFGARH,28.520223,76.985554,LED,1,80,133,80,80,,,512713,4550
15,NZ-133-018,NAJAFGARH,28.520207,76.985566,LED,1,80,133,80,80,,,512714,1200
16,NZ-133-018,NAJAFGARH,28.520168,76.985542,LED,1,80,133,80,80,,,512738,5750
17,NZ-133-018,NAJAFGARH,28.5201,76.985491,LED,1,80,133,80,80,,,512774,4380
18,NZ-133-018,NAJAFGARH,28.520052,76.985441,LED,1,80,133,80,80,,,512779,5611
19,NZ-133-018,NAJAFGARH,28.519917,76.985367,LED,1,80,133,80,80,,,512781,2715
20,NZ-133-018,NAJAFGARH,28.519531,76.985145,LED,1,80,133,80,80,,,512788,8914
21,NZ-133-018,NAJAFGARH,28.519463,76.985131,LED,1,80,133,80,80,,,512906,8440
22,NZ-133-018,NAJAFGARH,28.519338,76.985255,LED,1,80,133,80,80,,,512920,6880
23,NZ-133-018,NAJAFGARH,28.519265,76.985377,LED,2,80X2,133,80,160,,,512921,2080
24,NZ-133-018,NAJAFGARH,28.519207,76.985462,LED,1,80,133,80,80,,,512923,5280
25,NZ-133-018,NAJAFGARH,28.519093,76.985625,LED,1,80,133,80,80,,,512935,3960
26,NZ-133-018,NAJAFGARH,28.518884,76.985977,LED,1,70,133,70,70,,,512974,2190
27,NZ-133-018,NAJAFGARH,28.518822,76.98609,LED,1,80,133,80,80,,,512983,11440
28,NZ-133-018,NAJAFGARH,28.518763,76.986192,LED,1,80,133,80,80,,,513633,10880
29,NZ-133-018,NAJAFGARH,28.518698,76.986289,LED,1,70,133,70,70,,,513837,880
31,NZ-133-018,NAJAFGARH,28.5186,76.986451,LED,4,140X4,133,140,560,,,513855,3840
33,NZ-133-018,NAJAFGARH,28.518445,76.986689,LED,1,80,133,80,80,,,513876,6840
34,NZ-133-018,NAJAFGARH,28.518351,76.986837,LED,1,80,133,80,80,,,513895,19289
36,NZ-133-018,NAJAFGARH,28.518207,76.987077,LED,1,80,133,80,80,,,563634,4512
37,NZ-133-018,NAJAFGARH,28.518119,76.987219,LED,1,80,133,80,80,,,566179,2950
38,NZ-133-018,NAJAFGARH,28.51804,76.987333,LED,1,80,133,80,80,,,566180,12120
39,NZ-133-018,NAJAFGARH,28.51796,76.987471,LED,1,80,133,80,80,,,566188,7048
40,NZ-133-018,NAJAFGARH,28.517846,76.987655,LED,1,80,133,80,80,,,566199,5360
41,NZ-133-018,NAJAFGARH,28.517749,76.987807,LED,1,80,133,80,80,,,566204,5290
42,NZ-133-018,NAJAFGARH,28.517684,76.98793,LED,1,80,133,80,80,,,566505,4270
43,NZ-133-018,NAJAFGARH,28.517601,76.98807,LED,1,80,133,80,80,,,566509,6400
44,NZ-133-018,NAJAFGARH,28.517487,76.988267,LED,1,80,133,80,80,,,566510,2800
45,NZ-133-018,NAJAFGARH,28.517404,76.988401,LED,1,80,133,80,80,,,566519,7840
46,NZ-133-018,NAJAFGARH,28.517315,76.988552,LED,1,80,133,80,80,,,566521,15235
47,NZ-133-018,NAJAFGARH,28.517239,76.988675,LED,1,80,133,80,80,,,566523,6240
48,NZ-133-018,NAJAFGARH,28.51717,76.988792,LED,1,70,133,70,70,,,566524,3552
49,NZ-133-018,NAJAFGARH,28.517101,76.988906,LED,1,80,133,80,80,,,566540,5216
50,NZ-133-018,NAJAFGARH,28.517034,76.98903,LED,1,80,133,80,80,,,566543,6240
51,NZ-133-018,NAJAFGARH,28.516968,76.989134,LED,1,70,133,70,70,,,566544,5360
52,NZ-133-018,NAJAFGARH,28.516913,76.989236,LED,1,80,133,80,80,,,566584,10472
53,NZ-133-018,NAJAFGARH,28.516861,76.989329,LED,1,80,133,80,80,,,566725,7200
54,NZ-133-018,NAJAFGARH,28.5168,76.989433,LED,2,70X2,133,70,140,,,566734,13460
57,NZ-133-018,NAJAFGARH,28.516641,76.989692,LED,1,80,133,80,80,,,566742,13048
58,NZ-133-018,NAJAFGARH,28.516569,76.98981,LED,1,80,133,80,80,,,566755,15880
59,NZ-133-018,NAJAFGARH,28.516512,76.9899,LED,1,80,133,80,80,,,566758,18290
60,NZ-133-018,NAJAFGARH,28.516463,76.989977,LED,1,80,133,80,80,,,566775,3192
61,NZ-133-018,NAJAFGARH,28.516411,76.990049,LED,1,70,133,70,70,,,566796,22480
62,NZ-133-018,NAJAFGARH,28.516351,76.990134,LED,1,80,133,80,80,,,600411,3350
63,NZ-133-018,NAJAFGARH,28.516286,76.99023,LED,1,80,133,80,80,,,600417,1680
64,NZ-133-018,NAJAFGARH,28.516228,76.990325,LED,1,80,133,80,80,,,600452,6600
65,NZ-133-018,NAJAFGARH,28.516166,76.990427,LED,1,80,133,80,80,,,600463,26200
66,NZ-133-018,NAJAFGARH,28.516098,76.990543,LED,1,80,133,80,80,,,600464,12440
67,NZ-133-018,NAJAFGARH,28.516025,76.99066,LED,1,80,133,80,80,,,600465,7280
68,NZ-133-018,NAJAFGARH,28.515968,76.990758,LED,1,80,133,80,80,,,600468,6760
69,NZ-133-018,NAJAFGARH,28.515907,76.990861,LED,1,80,133,80,80,,,600476,1195
70,NZ-133-018,NAJAFGARH,28.515816,76.991007,LED,1,70,133,70,70,,,600495,7100
71,NZ-133-018,NAJAFGARH,28.515717,76.99116,LED,2,80X2,133,80,160,,,600498,9448
72,NZ-133-018,NAJAFGARH,28.515639,76.991286,LED,1,80,133,80,80,,,BSES,14060
73,NZ-133-018,NAJAFGARH,28.515563,76.991407,LED,1,80,133,80,80,,,HVDS,25560
74,NZ-133-018,NAJAFGARH,28.515492,76.991518,LED,1,80,133,80,80,,,NZ-133-018,13350
77,NZ-133-018,NAJAFGARH,28.515235,76.991819,LED,1,80,133,80,80,,,NZ-133-019,11040
79,NZ-133-018,NAJAFGARH,28.515393,76.991611,LED,2,80X2,133,80,160,,,NZ-133-034,11298
80,NZ-133-018,NAJAFGARH,28.515474,76.991452,LED,1,80,133,80,80,,,NZ-133-035,13080
81,NZ-133-018,NAJAFGARH,28.515544,76.99134,LED,1,80,133,80,80,,,NZ-133-036,6820
82,NZ-133-018,NAJAFGARH,28.5156,76.991249,LED,1,80,133,80,80,,,NZ-133-037,7654
83,NZ-133-018,NAJAFGARH,28.515666,76.991151,LED,1,80,133,80,80,,,NZ-133-047,5190
84,NZ-133-018,NAJAFGARH,28.515871,76.990815,LED,1,80,133,80,80,,,NZ-140-021,6720
85,NZ-133-018,NAJAFGARH,28.515962,76.990657,LED,1,80,133,80,80,,,NZ-141-030,13320
86,NZ-133-018,NAJAFGARH,28.516175,76.990336,LED,1,80,133,80,80,,,NZ-141-031,8856
87,NZ-133-018,NAJAFGARH,28.516239,76.990241,LED,1,80,133,80,80,,,NZ-141-032,1113
88,NZ-133-018,NAJAFGARH,28.516311,76.990135,LED,1,80,133,80,80,,,NZ-141-034,12480
89,NZ-133-018,NAJAFGARH,28.516381,76.990026,LED,1,80,133,80,80,,,NZ-141-035,6552
90,NZ-133-018,NAJAFGARH,28.516506,76.989822,LED,1,80,133,80,80,,,NZ-141-036,19490
91,NZ-133-018,NAJAFGARH,28.516611,76.989655,LED,1,80,133,80,80,,,NZ-141-037,9170
92,NZ-133-018,NAJAFGARH,28.516719,76.989467,LED,4,140X4,133,140,560,,,NZ-143-020,6172
93,NZ-133-018,NAJAFGARH,28.516774,76.989376,LED,1,80,133,80,80,,,NZ-144-047,2040
94,NZ-133-018,NAJAFGARH,28.516828,76.989284,LED,1,80,133,80,80,,,NZ-144-048,5400
95,NZ-133-018,NAJAFGARH,28.516882,76.989189,LED,1,80,133,80,80,,,NZ-144-052,3160
96,NZ-133-018,NAJAFGARH,28.516941,76.989084,LED,1,80,133,80,80,,,NZ-148-001,6200
97,NZ-133-018,NAJAFGARH,28.516999,76.988988,LED,1,80,133,80,80,,,NZ-148-002,6160
98,NZ-133-018,NAJAFGARH,28.517059,76.988885,LED,1,80,133,80,80,,,NZ-148-003,5440
99,NZ-133-018,NAJAFGARH,28.517115,76.988793,LED,1,80,133,80,80,,,NZ-148-005,1880
100,NZ-133-018,NAJAFGARH,28.517178,76.988688,LED,1,80,133,80,80,,,NZ-148-006,2480
101,NZ-133-018,NAJAFGARH,28.517246,76.988572,LED,1,80,133,80,80,,,NZ-148-007,5590
102,NZ-133-018,NAJAFGARH,28.517332,76.988433,LED,1,80,133,80,80,,,NZ-148-009,5224
103,NZ-133-018,NAJAFGARH,28.5174,76.988327,LED,2,80X2,133,80,160,,,NZ-148-010,5880
104,NZ-133-018,NAJAFGARH,28.517508,76.988146,LED,1,80,133,80,80,,,NZ-148-011,2942
105,NZ-133-018,NAJAFGARH,28.517587,76.988019,LED,1,80,133,80,80,,,NZ-148-012,3360
106,NZ-133-018,NAJAFGARH,28.517661,76.987893,LED,1,80,133,80,80,,,NZ-148-013,3270
107,NZ-133-018,NAJAFGARH,28.517709,76.98781,LED,1,80,133,80,80,,,NZ-148-014,2800
108,NZ-133-018,NAJAFGARH,28.517761,76.987717,LED,1,80,133,80,80,,,NZ-148-016,2230
109,NZ-133-018,NAJAFGARH,28.517817,76.987613,LED,1,80,133,80,80,,,NZ-148-017,2600
110,NZ-133-018,NAJAFGARH,28.517892,76.987491,LED,1,80,133,80,80,,,NZ-148-018,7760
111,NZ-133-018,NAJAFGARH,28.517955,76.987387,LED,2,70X2,133,70,140,,,NZ-148-019,6150
112,NZ-133-018,NAJAFGARH,28.518041,76.987264,LED,1,70,133,70,70,,,NZ-148-020,9342
113,NZ-133-018,NAJAFGARH,28.518601,76.987078,LED,1,80,133,80,80,,,NZ-148-021,2360
114,NZ-133-018,NAJAFGARH,28.518613,76.987079,LED,1,70,133,70,70,,,Grand Total,1442303
115,NZ-133-018,NAJAFGARH,28.519003,76.987079,LED,1,80,133,80,80,,,,
116,NZ-133-018,NAJAFGARH,28.519132,76.98709,LED,1,80,133,80,80,,,,
117,NZ-133-018,NAJAFGARH,28.519331,76.987104,LED,1,70,133,70,70,,,,
118,NZ-133-018,NAJAFGARH,28.519708,76.987117,LED,1,80,133,80,80,,,,
119,NZ-133-018,NAJAFGARH,28.519771,76.987114,LED,1,80,133,80,80,,,,
120,NZ-133-018,NAJAFGARH,28.519853,76.987122,LED,1,80,133,80,80,,,,
121,NZ-133-018,NAJAFGARH,28.519944,76.987137,LED,1,80,133,80,80,,,,
122,NZ-133-018,NAJAFGARH,28.520082,76.98713,LED,1,80,133,80,80,,,,
123,NZ-133-018,NAJAFGARH,28.520203,76.987122,LED,1,80,133,80,80,,,,
124,NZ-133-018,NAJAFGARH,28.52031,76.987126,LED,1,80,133,80,80,,,,
125,NZ-133-018,NAJAFGARH,28.520519,76.987131,LED,1,80,133,80,80,,,,
126,NZ-133-018,NAJAFGARH,28.520672,76.98713,LED,1,80,133,80,80,,,,
127,NZ-133-018,NAJAFGARH,28.520769,76.987133,LED,1,80,133,80,80,,,,
128,NZ-133-018,NAJAFGARH,28.520856,76.987135,LED,1,80,133,80,80,,,,
129,NZ-133-018,NAJAFGARH,28.521335,76.987162,LED,1,80,133,80,80,,,,
130,NZ-133-018,NAJAFGARH,28.521345,76.987162,LED,1,80,133,80,80,,,,
131,NZ-133-018,NAJAFGARH,28.521411,76.987161,LED,1,80,133,80,80,,,,
132,NZ-133-018,NAJAFGARH,28.521625,76.987177,LED,1,80,133,80,80,,,,
133,NZ-133-018,NAJAFGARH,28.521674,76.987175,LED,1,80,133,80,80,,,,
134,NZ-133-018,NAJAFGARH,28.521727,76.987168,LED,2,80X2,133,80,160,,,,
135,NZ-133-018,NAJAFGARH,28.521812,76.987157,LED,1,80,133,80,80,,,,
136,NZ-133-018,NAJAFGARH,28.521879,76.987146,LED,1,80,133,80,80,,,,
137,NZ-133-018,NAJAFGARH,28.521962,76.987134,LED,1,80,133,80,80,,,,
138,NZ-133-018,NAJAFGARH,28.522064,76.987145,LED,1,70,133,70,70,,,,
139,NZ-133-018,NAJAFGARH,28.522334,76.986806,LED,1,80,133,80,80,,,,
140,NZ-133-018,NAJAFGARH,28.522334,76.986713,LED,1,80,133,80,80,,,,
141,NZ-133-018,NAJAFGARH,28.522338,76.986591,LED,1,70,133,70,70,,,,
142,NZ-133-018,NAJAFGARH,28.522341,76.986497,LED,1,80,133,80,80,,,,
143,NZ-133-018,NAJAFGARH,28.522336,76.986417,LED,1,70,133,70,70,,,,
144,NZ-133-018,NAJAFGARH,28.522341,76.986328,LED,1,80,133,80,80,,,,
145,NZ-133-018,NAJAFGARH,28.522344,76.986232,LED,1,70,133,70,70,,,,
146,NZ-133-018,NAJAFGARH,28.522345,76.986133,LED,1,80,133,80,80,,,,
147,NZ-133-018,NAJAFGARH,28.522348,76.986017,LED,1,80,133,80,80,,,,
148,NZ-133-018,NAJAFGARH,28.522351,76.985936,LED,1,80,133,80,80,,,,
149,NZ-133-018,NAJAFGARH,28.522352,76.985851,LED,1,80,133,80,80,,,,
150,NZ-133-018,NAJAFGARH,28.522348,76.985766,LED,1,80,133,80,80,,,,
154,NZ-133-018,NAJAFGARH,28.522346,76.985431,LED,1,80,133,80,80,,,,
155,NZ-133-018,NAJAFGARH,28.522346,76.985344,LED,1,80,133,80,80,,,,
156,NZ-133-018,NAJAFGARH,28.522346,76.985255,LED,1,80,133,80,80,,,,
157,NZ-133-018,NAJAFGARH,28.522346,76.985138,LED,1,80,133,80,80,,,,
159,NZ-133-018,NAJAFGARH,28.522344,76.984935,LED,1,80,133,80,80,,,,
160,NZ-133-018,NAJAFGARH,28.522345,76.98484,LED,1,80,133,80,80,,,,
161,NZ-133-018,NAJAFGARH,28.522345,76.984735,LED,1,80,133,80,80,,,,
162,NZ-133-018,NAJAFGARH,28.522348,76.984629,LED,1,80,133,80,80,,,,
1,NZ-133-019,NAJAFGARH,28.522351,76.984467,LED,1,80,133,80,80,,,,
