SR. NO.,CCMS NO,Zone,Latitude,Longitude,Type of Light,No. Of Lights,Wattage,Ward No.,Wattage,Connected Load,,,
1,WZ-126-031,WEST,28.62318,77.056349,LED,1,72,126,72,72,,,
2,WZ-126-031,WEST,28.623172,77.056358,LED,1,72,126,72,72,,,
3,WZ-126-031,WEST,28.623405,77.056258,LED,1,72,126,72,72,,CCMS NO,Sum of Connected Load
4,WZ-126-031,WEST,28.623315,77.056462,LED,1,72,126,72,72,,BSES,42083
5,WZ-126-031,WEST,28.623129,77.056656,LED,1,72,126,72,72,,HVDS,12461
6,WZ-126-031,WEST,28.622922,77.056646,LED,1,72,126,72,72,,WZ-101-001,6129
7,WZ-126-031,WEST,28.622829,77.056668,LED,1,72,126,72,72,,WZ-101-002,12646
8,WZ-126-031,WEST,28.622829,77.056668,LED,1,72,126,72,72,,WZ-101-005,4140
9,WZ-126-031,WEST,28.622828,77.056668,LED,1,72,126,72,72,,WZ-101-007,7830
10,WZ-126-031,WEST,28.622822,77.056526,LED,1,72,126,72,72,,WZ-101-008,4203
11,WZ-126-031,WEST,28.622766,77.056474,LED,1,72,126,72,72,,WZ-101-010,13434
12,WZ-126-031,WEST,28.622663,77.056397,LED,1,72,126,72,72,,WZ-101-011,2503
13,WZ-126-031,WEST,28.622507,77.056353,LED,1,72,126,72,72,,WZ-101-015,6287
14,WZ-126-031,WEST,28.62247,77.056588,LED,1,72,126,72,72,,WZ-103-010,2016
15,WZ-126-031,WEST,28.622477,77.056605,LED,1,72,126,72,72,,WZ-103-011,2160
16,WZ-126-031,WEST,28.62252,77.056686,LED,1,72,126,72,72,,WZ-103-016,3888
17,WZ-126-031,WEST,28.622263,77.056697,LED,1,72,126,72,72,,WZ-103-025,4624
18,WZ-126-031,WEST,28.622264,77.056666,LED,1,72,126,72,72,,WZ-103-03A,4462
19,WZ-126-031,WEST,28.622295,77.056374,LED,1,72,126,72,72,,WZ-104-001,2448
20,WZ-126-031,WEST,28.622309,77.056344,LED,1,72,126,72,72,,WZ-104-003,4320
21,WZ-126-031,WEST,28.622143,77.056338,LED,1,72,126,72,72,,WZ-104-005,5600
22,WZ-126-031,WEST,28.622145,77.056333,LED,1,72,126,72,72,,WZ-105-010,3078
23,WZ-126-031,WEST,28.622211,77.056269,LED,1,72,126,72,72,,WZ-105-013,9188
24,WZ-126-031,WEST,28.622451,77.056187,LED,1,72,126,72,72,,WZ-105-032,5067
25,WZ-126-031,WEST,28.622514,77.055823,LED,1,72,126,72,72,,WZ-105-033,4415
26,WZ-126-031,WEST,28.622515,77.055734,LED,1,72,126,72,72,,WZ-106-009,4423
27,WZ-126-031,WEST,28.622511,77.055733,LED,1,72,126,72,72,,WZ-108-018,1589
28,WZ-126-031,WEST,28.622514,77.055465,LED,1,72,126,72,72,,WZ-111-017,9752
29,WZ-126-031,WEST,28.622544,77.055457,LED,1,72,126,72,72,,WZ-112-004,16425
30,WZ-126-031,WEST,28.622633,77.055613,LED,1,72,126,72,72,,WZ-114-006,14192
31,WZ-126-031,WEST,28.62265,77.055629,LED,1,72,126,72,72,,WZ-114-027,1257
32,WZ-126-031,WEST,28.622792,77.055746,LED,1,72,126,72,72,,WZ-116-024,6994
33,WZ-126-031,WEST,28.622956,77.055948,LED,1,72,126,72,72,,WZ-120-003,4896
34,WZ-126-031,WEST,28.622936,77.056181,LED,1,72,126,72,72,,WZ-120-008,3672
35,WZ-126-031,WEST,28.622943,77.056241,LED,1,72,126,72,72,,WZ-120-010,4896
1,WZ-121-011,WEST,28.627163,77.058049,LED,1,72,121,72,72,,WZ-120-016,4752
2,WZ-121-011,WEST,28.627162,77.058053,LED,1,72,121,72,72,,WZ-121-008,2088
3,WZ-121-011,WEST,28.627207,77.058069,LED,1,72,121,72,72,,WZ-121-011,1872
4,WZ-121-011,WEST,28.627167,77.058071,LED,1,72,121,72,72,,WZ-121-059,4032
5,WZ-121-011,WEST,28.627244,77.058098,LED,1,72,121,72,72,,WZ-121-060,1584
6,WZ-121-011,WEST,28.627419,77.058061,LED,1,72,121,72,72,,WZ-121-075,4072
7,WZ-121-011,WEST,28.627429,77.058071,LED,1,72,121,72,72,,WZ-121-078,3424
8,WZ-121-011,WEST,28.627615,77.058111,LED,1,72,121,72,72,,WZ-122-007,4320
9,WZ-121-011,WEST,28.627633,77.058093,LED,1,72,121,72,72,,WZ-122-014,5760
10,WZ-121-011,WEST,28.627653,77.057898,LED,1,72,121,72,72,,WZ-122-026,3024
11,WZ-121-011,WEST,28.627653,77.057898,LED,1,72,121,72,72,,WZ-122-035,2952
12,WZ-121-011,WEST,28.627669,77.057736,LED,1,72,121,72,72,,WZ-122-038,4176
13,WZ-121-011,WEST,28.627741,77.058196,LED,1,72,121,72,72,,WZ-122-068,2160
14,WZ-121-011,WEST,28.627673,77.058759,LED,1,72,121,72,72,,WZ-124-007,5248
15,WZ-121-011,WEST,28.627643,77.0588,LED,1,72,121,72,72,,WZ-125-009,1872
16,WZ-121-011,WEST,28.627523,77.058775,LED,1,72,121,72,72,,WZ-125-010,10565
17,WZ-121-011,WEST,28.627509,77.058787,LED,1,72,121,72,72,,WZ-125-018,2072
18,WZ-121-011,WEST,28.627314,77.058783,LED,1,72,121,72,72,,WZ-125-019,7280
19,WZ-121-011,WEST,28.62719,77.058527,LED,1,72,121,72,72,,WZ-125-020,9000
20,WZ-121-011,WEST,28.627247,77.058066,LED,1,72,121,72,72,,WZ-125-026,4032
21,WZ-121-011,WEST,28.62718,77.058019,LED,1,72,121,72,72,,WZ-125-036,5886
22,WZ-121-011,WEST,28.627174,77.058009,LED,1,72,121,72,72,,WZ-125-037,4464
23,WZ-121-011,WEST,28.627172,77.058013,LED,1,72,121,72,72,,WZ-126-023,6520
24,WZ-121-011,WEST,28.627179,77.058012,LED,1,72,121,72,72,,WZ-126-031,2520
25,WZ-121-011,WEST,28.626962,77.058021,LED,1,72,121,72,72,,WZ-128-030,2120
26,WZ-121-011,WEST,28.627233,77.058082,LED,1,72,121,72,72,,Grand Total,336873
1,WZ-121-008,WEST,28.625349,77.057903,LED,1,72,121,72,72,,,
2,WZ-121-008,WEST,28.625344,77.057906,LED,1,72,121,72,72,,,
3,WZ-121-008,WEST,28.624671,77.057851,LED,1,72,121,72,72,,,
4,WZ-121-008,WEST,28.624659,77.057847,LED,1,72,121,72,72,,,
5,WZ-121-008,WEST,28.624394,77.057829,LED,1,72,121,72,72,,,
6,WZ-121-008,WEST,28.624099,77.057835,LED,1,72,121,72,72,,,
7,WZ-121-008,WEST,28.624099,77.057748,LED,1,72,121,72,72,,,
8,WZ-121-008,WEST,28.624103,77.057694,LED,1,72,121,72,72,,,
9,WZ-121-008,WEST,28.624116,77.057459,LED,1,72,121,72,72,,,
10,WZ-121-008,WEST,28.624163,77.057365,LED,1,72,121,72,72,,,
11,WZ-121-008,WEST,28.624323,77.057374,LED,1,72,121,72,72,,,
12,WZ-121-008,WEST,28.62463,77.057374,LED,1,72,121,72,72,,,
13,WZ-121-008,WEST,28.624807,77.057324,LED,1,72,121,72,72,,,
14,WZ-121-008,WEST,28.624855,77.057326,LED,1,72,121,72,72,,,
15,WZ-121-008,WEST,28.624888,77.057342,LED,1,72,121,72,72,,,
16,WZ-121-008,WEST,28.625081,77.057382,LED,1,72,121,72,72,,,
17,WZ-121-008,WEST,28.625205,77.05746,LED,1,72,121,72,72,,,
18,WZ-121-008,WEST,28.625433,77.057452,LED,1,72,121,72,72,,,
19,WZ-121-008,WEST,28.625438,77.057447,LED,1,72,121,72,72,,,
20,WZ-121-008,WEST,28.625474,77.057634,LED,1,72,121,72,72,,,
21,WZ-121-008,WEST,28.625507,77.057818,LED,1,72,121,72,72,,,
22,WZ-121-008,WEST,28.62551,77.057837,LED,1,72,121,72,72,,,
23,WZ-121-008,WEST,28.624712,77.057771,LED,1,72,121,72,72,,,
24,WZ-121-008,WEST,28.624239,77.057699,LED,1,72,121,72,72,,,
25,WZ-121-008,WEST,28.624105,77.057808,LED,1,72,121,72,72,,,
26,WZ-121-008,WEST,28.624135,77.057935,LED,1,72,121,72,72,,,
27,WZ-121-008,WEST,28.624109,77.058121,LED,1,72,121,72,72,,,
28,WZ-121-008,WEST,28.624085,77.058215,LED,1,72,121,72,72,,,
29,WZ-121-008,WEST,28.624092,77.058502,LED,1,72,121,72,72,,,
1,WZ-121-078,WEST,28.655609,77.039971,LED,1,72,121,72,72,,,
2,WZ-121-078,WEST,28.655607,77.039972,LED,1,72,121,72,72,,,
3,WZ-121-078,WEST,28.655927,77.039819,LED,1,72,121,72,72,,,
4,WZ-121-078,WEST,28.656155,77.039697,LED,1,72,121,72,72,,,
5,WZ-121-078,WEST,28.656277,77.039638,LED,1,72,121,72,72,,,
6,WZ-121-078,WEST,28.656191,77.039438,LED,1,72,121,72,72,,,
7,WZ-121-078,WEST,28.656164,77.03936,LED,1,72,121,72,72,,,
8,WZ-121-078,WEST,28.656106,77.039255,LED,4,140X4,121,140,560,,,
9,WZ-121-078,WEST,28.656098,77.039241,LED,1,72,121,72,72,,,
10,WZ-121-078,WEST,28.656079,77.039239,LED,1,72,121,72,72,,,
11,WZ-121-078,WEST,28.655795,77.039399,LED,1,72,121,72,72,,,
12,WZ-121-078,WEST,28.655706,77.039263,LED,1,72,121,72,72,,,
13,WZ-121-078,WEST,28.655614,77.039402,LED,1,72,121,72,72,,,
14,WZ-121-078,WEST,28.655543,77.039443,LED,1,72,121,72,72,,,
15,WZ-121-078,WEST,28.655398,77.03955,LED,1,72,121,72,72,,,
16,WZ-121-078,WEST,28.655284,77.039519,LED,1,72,121,72,72,,,
17,WZ-121-078,WEST,28.655282,77.039521,LED,1,72,121,72,72,,,
18,WZ-121-078,WEST,28.655396,77.039773,LED,1,72,121,72,72,,,
19,WZ-121-078,WEST,28.655403,77.039778,LED,4,140X4,121,140,560,,,
20,WZ-121-078,WEST,28.6554,77.039794,LED,1,72,121,72,72,,,
21,WZ-121-078,WEST,28.655483,77.039968,LED,1,72,121,72,72,,,
22,WZ-121-078,WEST,28.655498,77.039998,LED,1,72,121,72,72,,,
23,WZ-121-078,WEST,28.655545,77.040107,LED,1,72,121,72,72,,,
24,WZ-121-078,WEST,28.655559,77.040119,LED,1,72,121,72,72,,,
25,WZ-121-078,WEST,28.655591,77.040149,LED,1,72,121,72,72,,,
26,WZ-121-078,WEST,28.655614,77.040169,LED,1,72,121,72,72,,,
27,WZ-121-078,WEST,28.65572,77.040304,LED,1,72,121,72,72,,,
28,WZ-121-078,WEST,28.655793,77.040404,LED,1,72,121,72,72,,,
29,WZ-121-078,WEST,28.655837,77.04045,LED,1,72,121,72,72,,,
30,WZ-121-078,WEST,28.656003,77.040617,LED,1,72,121,72,72,,,
31,WZ-121-078,WEST,28.65601,77.040623,LED,1,72,121,72,72,,,
32,WZ-121-078,WEST,28.656022,77.040628,LED,1,72,121,72,72,,,
33,WZ-121-078,WEST,28.656126,77.040776,LED,1,72,121,72,72,,,
34,WZ-121-078,WEST,28.656125,77.040777,LED,1,72,121,72,72,,,
1,WZ-121-075,WEST,28.658751,77.038403,LED,1,72,121,72,72,,,
2,WZ-121-075,WEST,28.658748,77.038401,LED,1,72,121,72,72,,,
3,WZ-121-075,WEST,28.658789,77.038269,LED,1,72,121,72,72,,,
4,WZ-121-075,WEST,28.658874,77.038103,LED,1,72,121,72,72,,,
5,WZ-121-075,WEST,28.658872,77.038098,LED,1,72,121,72,72,,,
6,WZ-121-075,WEST,28.658835,77.037998,LED,1,72,121,72,72,,,
7,WZ-121-075,WEST,28.658982,77.03793,LED,1,72,121,72,72,,,
8,WZ-121-075,WEST,28.658993,77.037895,LED,1,72,121,72,72,,,
9,WZ-121-075,WEST,28.659048,77.037655,LED,1,72,121,72,72,,,
10,WZ-121-075,WEST,28.658926,77.037725,LED,1,72,121,72,72,,,
11,WZ-121-075,WEST,28.658892,77.037444,LED,4,140X4,121,140,560,,,
12,WZ-121-075,WEST,28.658876,77.037441,LED,1,72,121,72,72,,,
13,WZ-121-075,WEST,28.658875,77.037453,LED,1,72,121,72,72,,,
14,WZ-121-075,WEST,28.658644,77.037377,LED,1,72,121,72,72,,,
15,WZ-121-075,WEST,28.658393,77.037195,LED,1,72,121,72,72,,,
16,WZ-121-075,WEST,28.658189,77.036988,LED,1,72,121,72,72,,,
17,WZ-121-075,WEST,28.658071,77.036931,LED,1,72,121,72,72,,,
18,WZ-121-075,WEST,28.657902,77.037018,LED,1,72,121,72,72,,,
19,WZ-121-075,WEST,28.657909,77.037003,LED,4,140X4,121,140,560,,,
20,WZ-121-075,WEST,28.65806,77.036911,LED,1,72,121,72,72,,,
21,WZ-121-075,WEST,28.658163,77.036904,LED,1,72,121,72,72,,,
22,WZ-121-075,WEST,28.658403,77.036661,LED,1,72,121,72,72,,,
23,WZ-121-075,WEST,28.658603,77.036552,LED,1,72,121,72,72,,,
24,WZ-121-075,WEST,28.658746,77.03672,LED,1,72,121,72,72,,,
25,WZ-121-075,WEST,28.658921,77.036547,LED,1,72,121,72,72,,,
26,WZ-121-075,WEST,28.659065,77.036669,LED,1,72,121,72,72,,,
27,WZ-121-075,WEST,28.659174,77.036743,LED,1,72,121,72,72,,,
28,WZ-121-075,WEST,28.659209,77.036751,LED,1,72,121,72,72,,,
29,WZ-121-075,WEST,28.659208,77.036751,LED,1,72,121,72,72,,,
30,WZ-121-075,WEST,28.659083,77.037063,LED,1,72,121,72,72,,,
31,WZ-121-075,WEST,28.659033,77.037129,LED,1,72,121,72,72,,,
32,WZ-121-075,WEST,28.658936,77.037435,LED,2,72X2,121,72,144,,,
33,WZ-121-075,WEST,28.658931,77.037446,LED,1,72,121,72,72,,,
34,WZ-121-075,WEST,28.658997,77.037654,LED,1,72,121,72,72,,,
35,WZ-121-075,WEST,28.659182,77.037815,LED,1,72,121,72,72,,,
36,WZ-121-075,WEST,28.659202,77.037877,LED,1,72,121,72,72,,,
37,WZ-121-075,WEST,28.659194,77.037896,LED,1,72,121,72,72,,,
38,WZ-121-075,WEST,28.659193,77.037897,LED,1,72,121,72,72,,,
39,WZ-121-075,WEST,28.659192,77.037972,LED,1,72,121,72,72,,,
40,WZ-121-075,WEST,28.65919,77.037953,LED,1,72,121,72,72,,,
41,WZ-121-075,WEST,28.659188,77.037955,LED,1,72,121,72,72,,,
42,WZ-121-075,WEST,28.658913,77.038074,LED,1,72,121,72,72,,,
1,WZ-121-060,WEST,28.623227,77.057489,LED,1,72,121,72,72,,,
2,WZ-121-060,WEST,28.623316,77.057747,LED,1,72,121,72,72,,,
3,WZ-121-060,WEST,28.623309,77.057876,LED,1,72,121,72,72,,,
4,WZ-121-060,WEST,28.623309,77.057876,LED,1,72,121,72,72,,,
5,WZ-121-060,WEST,28.623617,77.057975,LED,1,72,121,72,72,,,
6,WZ-121-060,WEST,28.623627,77.057772,LED,1,72,121,72,72,,,
7,WZ-121-060,WEST,28.623633,77.057752,LED,1,72,121,72,72,,,
8,WZ-121-060,WEST,28.623606,77.057692,LED,1,72,121,72,72,,,
9,WZ-121-060,WEST,28.623604,77.057677,LED,1,72,121,72,72,,,
10,WZ-121-060,WEST,28.623624,77.057491,LED,1,72,121,72,72,,,
11,WZ-121-060,WEST,28.623605,77.05711,LED,1,72,121,72,72,,,
12,WZ-121-060,WEST,28.623635,77.056784,LED,1,72,121,72,72,,,
13,WZ-121-060,WEST,28.623845,77.056676,LED,1,72,121,72,72,,,
14,WZ-121-060,WEST,28.623857,77.05667,LED,1,72,121,72,72,,,
15,WZ-121-060,WEST,28.624009,77.05665,LED,1,72,121,72,72,,,
16,WZ-121-060,WEST,28.624024,77.056615,LED,1,72,121,72,72,,,
17,WZ-121-060,WEST,28.624182,77.056593,LED,1,72,121,72,72,,,
18,WZ-121-060,WEST,28.624407,77.056544,LED,1,72,121,72,72,,,
19,WZ-121-060,WEST,28.624441,77.056505,LED,1,72,121,72,72,,,
20,WZ-121-060,WEST,28.62444,77.056504,LED,1,72,121,72,72,,,
21,WZ-121-060,WEST,28.624443,77.056506,LED,1,72,121,72,72,,,
22,WZ-121-060,WEST,28.624239,77.05663,LED,1,72,121,72,72,,,
1,WZ-121-059,WEST,28.607262,77.076224,LED,1,72,121,72,72,,,
2,WZ-121-059,WEST,28.607263,77.076216,LED,1,72,121,72,72,,,
3,WZ-121-059,WEST,28.607292,77.076167,LED,1,72,121,72,72,,,
4,WZ-121-059,WEST,28.607294,77.076176,LED,1,72,121,72,72,,,
5,WZ-121-059,WEST,28.607295,77.076189,LED,1,72,121,72,72,,,
6,WZ-121-059,WEST,28.607351,77.076358,LED,1,72,121,72,72,,,
7,WZ-121-059,WEST,28.607334,77.076718,LED,1,72,121,72,72,,,
8,WZ-121-059,WEST,28.607334,77.076718,LED,1,72,121,72,72,,,
9,WZ-121-059,WEST,28.607541,77.076713,LED,1,72,121,72,72,,,
10,WZ-121-059,WEST,28.607382,77.07669,LED,1,72,121,72,72,,,
11,WZ-121-059,WEST,28.607373,77.076696,LED,1,72,121,72,72,,,
12,WZ-121-059,WEST,28.607326,77.076521,LED,1,72,121,72,72,,,
13,WZ-121-059,WEST,28.607496,77.076283,LED,1,72,121,72,72,,,
14,WZ-121-059,WEST,28.60748,77.076059,LED,1,72,121,72,72,,,
16,WZ-121-059,WEST,28.607475,77.075987,LED,1,72,121,72,72,,,
17,WZ-121-059,WEST,28.607493,77.075837,LED,1,72,121,72,72,,,
18,WZ-121-059,WEST,28.607485,77.075734,LED,1,72,121,72,72,,,
19,WZ-121-059,WEST,28.607485,77.075731,LED,1,72,121,72,72,,,
20,WZ-121-059,WEST,28.607492,77.075717,LED,1,72,121,72,72,,,
21,WZ-121-059,WEST,28.607318,77.075714,LED,1,72,121,72,72,,,
22,WZ-121-059,WEST,28.607168,77.07567,LED,1,72,121,72,72,,,
23,WZ-121-059,WEST,28.607132,77.075675,LED,1,72,121,72,72,,,
24,WZ-121-059,WEST,28.60698,77.075643,LED,1,72,121,72,72,,,
25,WZ-121-059,WEST,28.606658,77.075626,LED,1,72,121,72,72,,,
26,WZ-121-059,WEST,28.606614,77.075638,LED,1,72,121,72,72,,,
27,WZ-121-059,WEST,28.606687,77.075921,LED,1,72,121,72,72,,,
28,WZ-121-059,WEST,28.606703,77.075939,LED,1,72,121,72,72,,,
29,WZ-121-059,WEST,28.60671,77.075946,LED,1,72,121,72,72,,,
30,WZ-121-059,WEST,28.607011,77.075992,LED,1,72,121,72,72,,,
31,WZ-121-059,WEST,28.607122,77.075975,LED,1,72,121,72,72,,,
32,WZ-121-059,WEST,28.607336,77.076069,LED,1,72,121,72,72,,,
33,WZ-121-059,WEST,28.607341,77.076256,LED,1,72,121,72,72,,,
34,WZ-121-059,WEST,28.607587,77.076267,LED,1,72,121,72,72,,,
35,WZ-121-059,WEST,28.607791,77.076262,LED,1,72,121,72,72,,,
36,WZ-121-059,WEST,28.607791,77.076262,LED,1,72,121,72,72,,,
37,WZ-121-059,WEST,28.60778,77.076019,LED,1,72,121,72,72,,,
38,WZ-121-059,WEST,28.607724,77.075783,LED,1,72,121,72,72,,,
39,WZ-121-059,WEST,28.607724,77.075779,LED,1,72,121,72,72,,,
40,WZ-121-059,WEST,28.607742,77.075859,LED,1,72,121,72,72,,,
41,WZ-121-059,WEST,28.607772,77.075956,LED,1,72,121,72,72,,,
42,WZ-121-059,WEST,28.607952,77.076251,LED,1,72,121,72,72,,,
43,WZ-121-059,WEST,28.607981,77.07605,LED,1,72,121,72,72,,,
44,WZ-121-059,WEST,28.608002,77.075857,LED,1,72,121,72,72,,,
45,WZ-121-059,WEST,28.608015,77.0756,LED,1,72,121,72,72,,,
46,WZ-121-059,WEST,28.60803,77.075776,LED,1,72,121,72,72,,,
47,WZ-121-059,WEST,28.607975,77.076149,LED,1,72,121,72,72,,,
48,WZ-121-059,WEST,28.608024,77.076244,LED,1,72,121,72,72,,,
49,WZ-121-059,WEST,28.608198,77.076278,LED,1,72,121,72,72,,,
50,WZ-121-059,WEST,28.608362,77.076322,LED,1,72,121,72,72,,,
51,WZ-121-059,WEST,28.608358,77.076343,LED,1,72,121,72,72,,,
52,WZ-121-059,WEST,28.608187,77.076311,LED,1,72,121,72,72,,,
53,WZ-121-059,WEST,28.608176,77.076323,LED,1,72,121,72,72,,,
54,WZ-121-059,WEST,28.607991,77.076309,LED,1,72,121,72,72,,,
55,WZ-121-059,WEST,28.608011,77.076456,LED,1,72,121,72,72,,,
56,WZ-121-059,WEST,28.608008,77.076456,LED,1,72,121,72,72,,,
57,WZ-121-059,WEST,28.607706,77.076297,LED,1,72,121,72,72,,,
1,WZ-120-008,WEST,28.611343,77.082497,LED,1,72,120,72,72,,,
2,WZ-120-008,WEST,28.611343,77.082497,LED,1,72,120,72,72,,,
3,WZ-120-008,WEST,28.611358,77.082355,LED,1,72,120,72,72,,,
4,WZ-120-008,WEST,28.611354,77.082333,LED,1,72,120,72,72,,,
5,WZ-120-008,WEST,28.611341,77.082078,LED,1,72,120,72,72,,,
6,WZ-120-008,WEST,28.611334,77.081876,LED,1,72,120,72,72,,,
7,WZ-120-008,WEST,28.611364,77.081855,LED,1,72,120,72,72,,,
8,WZ-120-008,WEST,28.611224,77.081835,LED,1,72,120,72,72,,,
9,WZ-120-008,WEST,28.611218,77.081837,LED,1,72,120,72,72,,,
10,WZ-120-008,WEST,28.61117,77.081857,LED,1,72,120,72,72,,,
11,WZ-120-008,WEST,28.611152,77.081868,LED,1,72,120,72,72,,,
12,WZ-120-008,WEST,28.611145,77.082021,LED,1,72,120,72,72,,,
13,WZ-120-008,WEST,28.611159,77.082173,LED,1,72,120,72,72,,,
14,WZ-120-008,WEST,28.611132,77.082287,LED,1,72,120,72,72,,,
15,WZ-120-008,WEST,28.61112,77.08246,LED,1,72,120,72,72,,,
16,WZ-120-008,WEST,28.611118,77.08246,LED,1,72,120,72,72,,,
17,WZ-120-008,WEST,28.611099,77.082471,LED,1,72,120,72,72,,,
18,WZ-120-008,WEST,28.611075,77.082506,LED,1,72,120,72,72,,,
19,WZ-120-008,WEST,28.611075,77.082524,LED,1,72,120,72,72,,,
20,WZ-120-008,WEST,28.61109,77.082667,LED,1,72,120,72,72,,,
21,WZ-120-008,WEST,28.611121,77.082912,LED,1,72,120,72,72,,,
22,WZ-120-008,WEST,28.611227,77.083119,LED,1,72,120,72,72,,,
23,WZ-120-008,WEST,28.611335,77.083242,LED,1,72,120,72,72,,,
24,WZ-120-008,WEST,28.611415,77.083257,LED,1,72,120,72,72,,,
25,WZ-120-008,WEST,28.611402,77.08307,LED,1,72,120,72,72,,,
26,WZ-120-008,WEST,28.611387,77.08293,LED,1,72,120,72,72,,,
27,WZ-120-008,WEST,28.611373,77.082732,LED,1,72,120,72,72,,,
28,WZ-120-008,WEST,28.6115,77.082508,LED,1,72,120,72,72,,,
29,WZ-120-008,WEST,28.611664,77.082438,LED,1,72,120,72,72,,,
30,WZ-120-008,WEST,28.611669,77.082415,LED,1,72,120,72,72,,,
31,WZ-120-008,WEST,28.61165,77.082201,LED,1,72,120,72,72,,,
32,WZ-120-008,WEST,28.611646,77.082193,LED,1,72,120,72,72,,,
33,WZ-120-008,WEST,28.611645,77.082024,LED,1,72,120,72,72,,,
34,WZ-120-008,WEST,28.611663,77.081853,LED,1,72,120,72,72,,,
35,WZ-120-008,WEST,28.611892,77.0818,LED,1,72,120,72,72,,,
36,WZ-120-008,WEST,28.611941,77.081963,LED,1,72,120,72,72,,,
37,WZ-120-008,WEST,28.611919,77.082084,LED,1,72,120,72,72,,,
38,WZ-120-008,WEST,28.611956,77.0823,LED,1,72,120,72,72,,,
39,WZ-120-008,WEST,28.611957,77.082311,LED,1,72,120,72,72,,,
40,WZ-120-008,WEST,28.611962,77.082322,LED,1,72,120,72,72,,,
41,WZ-120-008,WEST,28.611933,77.08243,LED,1,72,120,72,72,,,
42,WZ-120-008,WEST,28.611942,77.082701,LED,1,72,120,72,72,,,
43,WZ-120-008,WEST,28.612001,77.083086,LED,1,72,120,72,72,,,
44,WZ-120-008,WEST,28.612003,77.083091,LED,1,72,120,72,72,,,
45,WZ-120-008,WEST,28.611637,77.083221,LED,1,72,120,72,72,,,
46,WZ-120-008,WEST,28.611638,77.083235,LED,1,72,120,72,72,,,
47,WZ-120-008,WEST,28.611623,77.082949,LED,1,72,120,72,72,,,
48,WZ-120-008,WEST,28.611666,77.082753,LED,1,72,120,72,72,,,
49,WZ-120-008,WEST,28.611677,77.082511,LED,1,72,120,72,72,,,
50,WZ-120-008,WEST,28.611664,77.082307,LED,1,72,120,72,72,,,
51,WZ-120-008,WEST,28.611671,77.082126,LED,1,72,120,72,72,,,
1,WZ-120-003,WEST,28.611086,77.078604,LED,1,72,120,72,72,,,
2,WZ-120-003,WEST,28.611086,77.078605,LED,1,72,120,72,72,,,
3,WZ-120-003,WEST,28.610874,77.078614,LED,1,72,120,72,72,,,
4,WZ-120-003,WEST,28.610682,77.078624,LED,1,72,120,72,72,,,
5,WZ-120-003,WEST,28.610674,77.07862,LED,1,72,120,72,72,,,
6,WZ-120-003,WEST,28.610691,77.078646,LED,1,72,120,72,72,,,
7,WZ-120-003,WEST,28.610702,77.078606,LED,1,72,120,72,72,,,
8,WZ-120-003,WEST,28.610726,77.078554,LED,1,72,120,72,72,,,
9,WZ-120-003,WEST,28.61079,77.07847,LED,1,72,120,72,72,,,
10,WZ-120-003,WEST,28.611065,77.078485,LED,1,72,120,72,72,,,
11,WZ-120-003,WEST,28.611089,77.078476,LED,1,72,120,72,72,,,
12,WZ-120-003,WEST,28.611377,77.078489,LED,1,72,120,72,72,,,
13,WZ-120-003,WEST,28.611501,77.078471,LED,1,72,120,72,72,,,
14,WZ-120-003,WEST,28.611502,77.078472,LED,1,72,120,72,72,,,
15,WZ-120-003,WEST,28.611386,77.078466,LED,1,72,120,72,72,,,
16,WZ-120-003,WEST,28.611334,77.078462,LED,1,72,120,72,72,,,
17,WZ-120-003,WEST,28.611093,77.078432,LED,1,72,120,72,72,,,
18,WZ-120-003,WEST,28.611092,77.078434,LED,1,72,120,72,72,,,
19,WZ-120-003,WEST,28.611086,77.078311,LED,1,72,120,72,72,,,
20,WZ-120-003,WEST,28.611009,77.07821,LED,1,72,120,72,72,,,
21,WZ-120-003,WEST,28.610979,77.078186,LED,1,72,120,72,72,,,
22,WZ-120-003,WEST,28.610967,77.078141,LED,1,72,120,72,72,,,
23,WZ-120-003,WEST,28.611258,77.078207,LED,1,72,120,72,72,,,
24,WZ-120-003,WEST,28.611363,77.078212,LED,1,72,120,72,72,,,
25,WZ-120-003,WEST,28.611049,77.078196,LED,1,72,120,72,72,,,
26,WZ-120-003,WEST,28.611072,77.078297,LED,1,72,120,72,72,,,
27,WZ-120-003,WEST,28.611082,77.078324,LED,1,72,120,72,72,,,
28,WZ-120-003,WEST,28.611089,77.078507,LED,1,72,120,72,72,,,
29,WZ-120-003,WEST,28.611238,77.078597,LED,1,72,120,72,72,,,
30,WZ-120-003,WEST,28.611417,77.078594,LED,1,72,120,72,72,,,
31,WZ-120-003,WEST,28.611575,77.078625,LED,1,72,120,72,72,,,
32,WZ-120-003,WEST,28.611547,77.078643,LED,1,72,120,72,72,,,
33,WZ-120-003,WEST,28.611389,77.078599,LED,1,72,120,72,72,,,
34,WZ-120-003,WEST,28.611256,77.078626,LED,2,72X2,120,72,144,,,
35,WZ-120-003,WEST,28.611046,77.078848,LED,1,72,120,72,72,,,
36,WZ-120-003,WEST,28.611054,77.078855,LED,1,72,120,72,72,,,
37,WZ-120-003,WEST,28.611227,77.078885,LED,1,72,120,72,72,,,
38,WZ-120-003,WEST,28.61139,77.078887,LED,1,72,120,72,72,,,
39,WZ-120-003,WEST,28.611517,77.078921,LED,1,72,120,72,72,,,
