SR. NO.,CCMS NO,Zone,Ward No.,Latitude,Longitude,Type of Light,No. Of Lights,Wattage,Wattage,Connected Load,,,
1,SZ-171-011,SOUTH,171,28.535387,77.149774,LED,1,70,70,70,,,
2,SZ-171-011,SOUTH,171,28.535385,77.149779,LED,1,70,70,70,,,
4,SZ-171-011,SOUTH,171,28.535493,77.149842,LED,1,70,70,70,,,
5,SZ-171-011,SOUTH,171,28.535609,77.14978,LED,1,70,70,70,,,
6,SZ-171-011,SOUTH,171,28.53562,77.149718,LED,1,70,70,70,,CCMS NO,Sum of Connected Load
7,SZ-171-011,SOUTH,171,28.535624,77.149644,LED,1,70,70,70,,100010,10875
8,SZ-171-011,SOUTH,171,28.535813,77.149709,LED,1,70,70,70,,100169,2730
9,SZ-171-011,SOUTH,171,28.535777,77.149821,LED,1,70,70,70,,HVDS,7540
10,SZ-171-011,SOUTH,171,28.535767,77.149829,LED,1,70,70,70,,SZ-161-016,3520
11,SZ-171-011,SOUTH,171,28.535766,77.149837,LED,1,70,70,70,,SZ-161-017,5523
12,SZ-171-011,SOUTH,171,28.535823,77.14987,LED,1,70,70,70,,SZ-162-003,7411
13,SZ-171-011,SOUTH,171,28.535766,77.149941,LED,1,70,70,70,,SZ-162-006,9557
14,SZ-171-011,SOUTH,171,28.535768,77.149946,LED,1,70,70,70,,SZ-162-007,10951
15,SZ-171-011,SOUTH,171,28.535881,77.149636,LED,1,70,70,70,,SZ-162-009,11016
16,SZ-171-011,SOUTH,171,28.535974,77.149446,LED,1,70,70,70,,SZ-162-011,5428
17,SZ-171-011,SOUTH,171,28.536051,77.149246,LED,1,70,70,70,,SZ-162-012,3642
18,SZ-171-011,SOUTH,171,28.535805,77.149318,LED,1,70,70,70,,SZ-162-013,9088
19,SZ-171-011,SOUTH,171,28.535908,77.149174,LED,1,70,70,70,,SZ-162-014,9315
20,SZ-171-011,SOUTH,171,28.53604,77.149028,LED,1,70,70,70,,SZ-163-002,6500
21,SZ-171-011,SOUTH,171,28.536058,77.14899,LED,1,70,70,70,,SZ-163-026,6480
22,SZ-171-011,SOUTH,171,28.536225,77.148796,LED,1,70,70,70,,SZ-163-028,4430
23,SZ-171-011,SOUTH,171,28.536408,77.14876,LED,1,70,70,70,,SZ-164-022,4358
24,SZ-171-011,SOUTH,171,28.536116,77.148509,LED,1,70,70,70,,SZ-164-029,3360
25,SZ-171-011,SOUTH,171,28.536013,77.148388,LED,1,70,70,70,,SZ-165-001,3040
26,SZ-171-011,SOUTH,171,28.535789,77.148259,LED,1,70,70,70,,SZ-165-012,2506
27,SZ-171-011,SOUTH,171,28.535776,77.148235,LED,1,70,70,70,,SZ-165-021,2860
28,SZ-171-011,SOUTH,171,28.535851,77.148289,LED,1,70,70,70,,SZ-165-028,6782
29,SZ-171-011,SOUTH,171,28.535972,77.14866,LED,2,"35X1,70X1",70,140,,SZ-165-033,2480
30,SZ-171-011,SOUTH,171,28.5359,77.14879,LED,1,70,70,70,,SZ-165-034,3845
31,SZ-171-011,SOUTH,171,28.53589,77.148821,LED,2,70X2,70,140,,SZ-165-042,8143
32,SZ-171-011,SOUTH,171,28.535625,77.148805,LED,1,70,70,70,,SZ-166-001,4480
33,SZ-171-011,SOUTH,171,28.535501,77.148912,LED,1,70,70,70,,SZ-166-005,6668
34,SZ-171-011,SOUTH,171,28.53545,77.14903,LED,1,70,70,70,,SZ-166-006,4053
35,SZ-171-011,SOUTH,171,28.535438,77.14905,LED,1,70,70,70,,SZ-166-007,4540
36,SZ-171-011,SOUTH,171,28.535379,77.149246,LED,1,70,70,70,,SZ-166-008,4072
37,SZ-171-011,SOUTH,171,28.535369,77.149264,LED,1,70,70,70,,SZ-166-010,2798
38,SZ-171-011,SOUTH,171,28.535489,77.14921,LED,1,70,70,70,,SZ-166-012,6404
39,SZ-171-011,SOUTH,171,28.535568,77.149165,LED,1,70,70,70,,SZ-166-018,2880
40,SZ-171-011,SOUTH,171,28.535607,77.149124,LED,1,70,70,70,,SZ-166-021,6122
41,SZ-171-011,SOUTH,171,28.535668,77.149027,LED,1,70,70,70,,SZ-167-003,5600
42,SZ-171-011,SOUTH,171,28.53568,77.149012,LED,1,70,70,70,,SZ-167-009,5740
43,SZ-171-011,SOUTH,171,28.535702,77.148817,LED,1,70,70,70,,SZ-167-012,2080
44,SZ-171-011,SOUTH,171,28.53581,77.148595,LED,1,70,70,70,,SZ-167-013,4270
45,SZ-171-011,SOUTH,171,28.535596,77.148766,LED,1,70,70,70,,SZ-167-016,3145
46,SZ-171-011,SOUTH,171,28.535334,77.148758,LED,1,70,70,70,,SZ-167-017,4175
47,SZ-171-011,SOUTH,171,28.535119,77.148721,LED,1,70,70,70,,SZ-167-022,3760
48,SZ-171-011,SOUTH,171,28.535184,77.148574,LED,1,70,70,70,,SZ-167-023,3520
49,SZ-171-011,SOUTH,171,28.53509,77.148475,LED,1,70,70,70,,SZ-167-028,3062
50,SZ-171-011,SOUTH,171,28.535409,77.148299,LED,1,70,70,70,,SZ-167-030,3827
51,SZ-171-011,SOUTH,171,28.535721,77.148198,LED,1,70,70,70,,SZ-168-001,6844
52,SZ-171-011,SOUTH,171,28.535586,77.148424,LED,1,70,70,70,,SZ-168-002,5570
53,SZ-171-011,SOUTH,171,28.535554,77.148448,LED,1,70,70,70,,SZ-168-004,2154
54,SZ-171-011,SOUTH,171,28.535537,77.148483,LED,1,70,70,70,,SZ-168-005,5800
55,SZ-171-011,SOUTH,171,28.53549,77.148581,LED,1,35,35,35,,SZ-168-006,3119
56,SZ-171-011,SOUTH,171,28.535487,77.148571,LED,1,35,35,35,,SZ-168-013,6982
57,SZ-171-011,SOUTH,171,28.535318,77.148496,LED,4,140X4,140,560,,SZ-168-014,5986
58,SZ-171-011,SOUTH,171,28.534855,77.148744,LED,1,70,70,70,,SZ-168-020,7729
59,SZ-171-011,SOUTH,171,28.535011,77.148838,LED,1,70,70,70,,SZ-168-031,2330
60,SZ-171-011,SOUTH,171,28.534995,77.148839,LED,1,70,70,70,,SZ-168-040,1290
61,SZ-171-011,SOUTH,171,28.534826,77.148953,LED,1,70,70,70,,SZ-168-041,1678
62,SZ-171-011,SOUTH,171,28.534711,77.149142,LED,1,70,70,70,,SZ-169-001,3730
63,SZ-171-011,SOUTH,171,28.534519,77.14902,LED,1,70,70,70,,SZ-169-002,9991
64,SZ-171-011,SOUTH,171,28.53442,77.149097,LED,1,70,70,70,,SZ-169-003,3010
65,SZ-171-011,SOUTH,171,28.534267,77.149139,LED,1,70,70,70,,SZ-169-004,4708
66,SZ-171-011,SOUTH,171,28.534188,77.149298,LED,1,70,70,70,,SZ-169-005,4235
67,SZ-171-011,SOUTH,171,28.534186,77.149297,LED,1,70,70,70,,SZ-169-006,3365
68,SZ-171-011,SOUTH,171,28.534067,77.149439,LED,1,70,70,70,,SZ-169-007,3136
69,SZ-171-011,SOUTH,171,28.533982,77.149651,LED,1,70,70,70,,SZ-169-010,3700
70,SZ-171-011,SOUTH,171,28.533953,77.149706,LED,1,70,70,70,,SZ-169-011,3635
71,SZ-171-011,SOUTH,171,28.533892,77.149814,LED,1,70,70,70,,SZ-169-012,4240
72,SZ-171-011,SOUTH,171,28.533754,77.149731,LED,1,70,70,70,,SZ-169-014,5927
73,SZ-171-011,SOUTH,171,28.533677,77.14976,LED,1,70,70,70,,SZ-169-015,4851
74,SZ-171-011,SOUTH,171,28.533566,77.14981,LED,1,70,70,70,,SZ-169-016,6702
75,SZ-171-011,SOUTH,171,28.533534,77.149843,LED,1,70,70,70,,SZ-169-017,2130
76,SZ-171-011,SOUTH,171,28.533469,77.149815,LED,1,70,70,70,,SZ-169-019,3625
77,SZ-171-011,SOUTH,171,28.533189,77.149671,LED,1,70,70,70,,SZ-169-020,2640
78,SZ-171-011,SOUTH,171,28.532967,77.149487,LED,1,70,70,70,,SZ-169-022,7360
79,SZ-171-011,SOUTH,171,28.532863,77.149402,LED,1,70,70,70,,SZ-169-026,2522
80,SZ-171-011,SOUTH,171,28.532786,77.149303,LED,1,70,70,70,,SZ-169-028,6852
81,SZ-171-011,SOUTH,171,28.532748,77.149343,LED,1,70,70,70,,SZ-169-032,3674
82,SZ-171-011,SOUTH,171,28.53283,77.149097,LED,1,70,70,70,,SZ-169-033,3500
83,SZ-171-011,SOUTH,171,28.53283,77.149097,LED,1,70,70,70,,SZ-169-038,3760
84,SZ-171-011,SOUTH,171,28.532972,77.148847,LED,1,70,70,70,,SZ-170-016,7120
85,SZ-171-011,SOUTH,171,28.533054,77.148852,LED,1,70,70,70,,SZ-170-017,3120
86,SZ-171-011,SOUTH,171,28.53328,77.149108,LED,1,70,70,70,,SZ-170-018,4320
87,SZ-171-011,SOUTH,171,28.533332,77.149115,LED,1,70,70,70,,SZ-171-001,1520
88,SZ-171-011,SOUTH,171,28.533368,77.149128,LED,1,70,70,70,,SZ-171-002,5740
89,SZ-171-011,SOUTH,171,28.533395,77.149135,LED,1,70,70,70,,SZ-171-010,5303
90,SZ-171-011,SOUTH,171,28.533543,77.149272,LED,1,70,70,70,,SZ-171-011,9450
91,SZ-171-011,SOUTH,171,28.533481,77.14941,LED,1,70,70,70,,SZ-171-013,2560
92,SZ-171-011,SOUTH,171,28.533466,77.149464,LED,1,70,70,70,,SZ-171-015,2085
93,SZ-171-011,SOUTH,171,28.533393,77.149619,LED,1,70,70,70,,SZ-171-016,5285
94,SZ-171-011,SOUTH,171,28.533869,77.150044,LED,1,70,70,70,,SZ-171-017,3365
95,SZ-171-011,SOUTH,171,28.533881,77.150063,LED,1,70,70,70,,SZ-171-018,3901
96,SZ-171-011,SOUTH,171,28.534028,77.150166,LED,1,70,70,70,,SZ-171-019,3690
97,SZ-171-011,SOUTH,171,28.534114,77.150205,LED,2,70X2,70,140,,SZ-171-022,7512
98,SZ-171-011,SOUTH,171,28.534219,77.150294,LED,1,70,70,70,,SZ-171-024,4020
99,SZ-171-011,SOUTH,171,28.534246,77.15032,LED,2,70X2,70,140,,SZ-171-025,3090
100,SZ-171-011,SOUTH,171,28.534463,77.150508,LED,1,70,70,70,,SZ-171-026,4010
101,SZ-171-011,SOUTH,171,28.534725,77.15034,LED,1,70,70,70,,SZ-171-027,8691
102,SZ-171-011,SOUTH,171,28.534743,77.150303,LED,1,70,70,70,,SZ-171-028,10329
103,SZ-171-011,SOUTH,171,28.534844,77.150116,LED,1,70,70,70,,SZ-171-029,4454
104,SZ-171-011,SOUTH,171,28.53467,77.150587,LED,2,70X2,70,140,,SZ-171-06,5040
105,SZ-171-011,SOUTH,171,28.534738,77.150375,LED,1,70,70,70,,SZ-172-003,2232
106,SZ-171-011,SOUTH,171,28.53489,77.150171,LED,2,70X2,70,140,,SZ-172-007,2997
107,SZ-171-011,SOUTH,171,28.534901,77.150158,LED,1,70,70,70,,SZ-172-037,3010
108,SZ-171-011,SOUTH,171,28.535005,77.149978,LED,1,70,70,70,,SZ-172-044,1859
109,SZ-171-011,SOUTH,171,28.535102,77.150024,LED,2,70X2,70,140,,SZ-172-052,4970
110,SZ-171-011,SOUTH,171,28.534876,77.150719,LED,1,70,70,70,,SZ-172-064,4901
111,SZ-171-011,SOUTH,171,28.534977,77.150704,LED,1,70,70,70,,SZ-172-065,8785
112,SZ-171-011,SOUTH,171,28.534995,77.150831,LED,1,70,70,70,,SZ-172-071,4259
113,SZ-171-011,SOUTH,171,28.535208,77.150932,LED,1,70,70,70,,SZ-172-072,6370
114,SZ-171-011,SOUTH,171,28.535266,77.150812,LED,1,70,70,70,,SZ-173-008,4250
115,SZ-171-011,SOUTH,171,28.535277,77.150798,LED,1,70,70,70,,SZ-173-012,6470
116,SZ-171-011,SOUTH,171,28.5353,77.150531,LED,1,70,70,70,,SZ-173-016,1980
117,SZ-171-011,SOUTH,171,28.535365,77.150445,LED,1,70,70,70,,SZ-173-019,5800
118,SZ-171-011,SOUTH,171,28.535431,77.150296,LED,1,70,70,70,,SZ-173-021,845
119,SZ-171-011,SOUTH,171,28.535524,77.150351,LED,1,70,70,70,,SZ-173-023,5085
120,SZ-171-011,SOUTH,171,28.535645,77.150189,LED,1,70,70,70,,SZ-173-025,2785
121,SZ-171-011,SOUTH,171,28.535713,77.15004,LED,1,70,70,70,,SZ-173-027,1805
122,SZ-171-011,SOUTH,171,28.535353,77.150078,LED,1,70,70,70,,SZ-173-028,2320
123,SZ-171-011,SOUTH,171,28.535493,77.149695,LED,1,70,70,70,,SZ-173-029,3815
1,SZ-171-018,SOUTH,171,28.533405,77.154394,LED,1,70,70,70,,SZ-173-031,1289
2,SZ-171-018,SOUTH,171,28.533417,77.15445,LED,1,70,70,70,,SZ-174-007,4400
3,SZ-171-018,SOUTH,171,28.533324,77.154398,LED,1,70,70,70,,SZ-174-009,3315
4,SZ-171-018,SOUTH,171,28.533284,77.154545,LED,1,70,70,70,,SZ-174-012,3680
5,SZ-171-018,SOUTH,171,28.53327,77.154659,LED,1,70,70,70,,SZ-174-018A,1888
6,SZ-171-018,SOUTH,171,28.533149,77.1548,LED,1,35,35,35,,SZ-175-005,1864
7,SZ-171-018,SOUTH,171,28.533014,77.155025,LED,1,35,35,35,,SZ-175-006,1790
8,SZ-171-018,SOUTH,171,28.532942,77.155133,LED,1,70,70,70,,SZ-175-009,3685
9,SZ-171-018,SOUTH,171,28.532876,77.155249,LED,1,70,70,70,,SZ-175-011,1646
10,SZ-171-018,SOUTH,171,28.532775,77.15526,LED,1,70,70,70,,SZ-175-014,2775
11,SZ-171-018,SOUTH,171,28.532755,77.155493,LED,1,72,72,72,,SZ-175-017,3122
12,SZ-171-018,SOUTH,171,28.532674,77.155459,LED,1,72,72,72,,SZ-175-019,2831
13,SZ-171-018,SOUTH,171,28.532627,77.155654,LED,1,72,72,72,,SZ-176-003,6240
14,SZ-171-018,SOUTH,171,28.532559,77.155779,LED,1,72,72,72,,SZ-176-004,5463
15,SZ-171-018,SOUTH,171,28.532477,77.155901,LED,1,72,72,72,,SZ-176-006,1762
16,SZ-171-018,SOUTH,171,28.53244,77.155982,LED,1,72,72,72,,SZ-176-007,716
17,SZ-171-018,SOUTH,171,28.53227,77.156021,LED,1,72,72,72,,SZ-176-008,1059
18,SZ-171-018,SOUTH,171,28.532302,77.155967,LED,2,35X2,35,70,,SZ-176-011,932
19,SZ-171-018,SOUTH,171,28.532228,77.155869,LED,1,35,35,35,,SZ-176-013,3128
20,SZ-171-018,SOUTH,171,28.532137,77.155746,LED,1,70,70,70,,SZ-176-024,1635
21,SZ-171-018,SOUTH,171,28.532086,77.155851,LED,1,70,70,70,,SZ-176-030,4476
22,SZ-171-018,SOUTH,171,28.532293,77.155586,LED,1,70,70,70,,SZ-176-035,1060
23,SZ-171-018,SOUTH,171,28.532389,77.155327,LED,1,70,70,70,,SZ-177-001,1750
24,SZ-171-018,SOUTH,171,28.532501,77.155189,LED,1,70,70,70,,SZ-177-002,1942
25,SZ-171-018,SOUTH,171,28.532554,77.155064,LED,1,70,70,70,,SZ-177-009,1320
26,SZ-171-018,SOUTH,171,28.532687,77.155197,LED,1,72,72,72,,SZ-178-004,5120
27,SZ-171-018,SOUTH,171,28.532657,77.155137,LED,1,72,72,72,,SZ-178-014,6855
28,SZ-171-018,SOUTH,171,28.532783,77.15495,LED,1,72,72,72,,SZ-179-001,2138
29,SZ-171-018,SOUTH,171,28.532828,77.154773,LED,1,70,70,70,,SZ-179-011,2309
30,SZ-171-018,SOUTH,171,28.532904,77.15479,LED,1,70,70,70,,SZ-179-012,3440
31,SZ-171-018,SOUTH,171,28.532884,77.154509,LED,1,70,70,70,,SZ-179-013,1655
32,SZ-171-018,SOUTH,171,28.532974,77.154335,LED,1,70,70,70,,SZ-179-014,1500
33,SZ-171-018,SOUTH,171,28.533107,77.15419,LED,1,70,70,70,,SZ-179-015,2652
34,SZ-171-018,SOUTH,171,28.533221,77.154157,LED,2,70X2,70,140,,SZ-179-016,2040
35,SZ-171-018,SOUTH,171,28.533106,77.153996,LED,1,70,70,70,,SZ-179-017,2005
36,SZ-171-018,SOUTH,171,28.533038,77.154145,LED,1,70,70,70,,SZ-179-018,1920
37,SZ-171-018,SOUTH,171,28.532937,77.154311,LED,1,70,70,70,,SZ-179-019,3710
38,SZ-171-018,SOUTH,171,28.532702,77.154605,LED,1,70,70,70,,SZ-179-020,1655
39,SZ-171-018,SOUTH,171,28.532624,77.154779,LED,1,70,70,70,,SZ-179-022,1320
40,SZ-171-018,SOUTH,171,28.532473,77.154925,LED,1,70,70,70,,SZ-179-023,2045
41,SZ-171-018,SOUTH,171,28.532292,77.154866,LED,1,70,70,70,,SZ-179-024,1240
42,SZ-171-018,SOUTH,171,28.532138,77.15484,LED,1,70,70,70,,SZ-179-025,9756
43,SZ-171-018,SOUTH,171,28.532047,77.155187,LED,2,70X2,70,140,,SZ-179-026,1760
44,SZ-171-018,SOUTH,171,28.532267,77.155096,LED,1,35,35,35,,SZ-179-027,1643
45,SZ-171-018,SOUTH,171,28.531955,77.155309,LED,1,35,35,35,,SZ-179-028,3738
46,SZ-171-018,SOUTH,171,28.532239,77.154803,LED,1,70,70,70,,SZ-182-001,7222
47,SZ-171-018,SOUTH,171,28.532594,77.154333,LED,1,80,80,80,,SZ-182-002,9100
48,SZ-171-018,SOUTH,171,28.532605,77.154101,LED,1,80,80,80,,SZ-182-003,3600
49,SZ-171-018,SOUTH,171,28.532752,77.153923,LED,1,80,80,80,,SZ-182-004,9790
50,SZ-171-018,SOUTH,171,28.532562,77.153657,LED,1,80,80,80,,SZ-182-005,15302
51,SZ-171-018,SOUTH,171,28.532881,77.153744,LED,1,80,80,80,,SZ-182-009,11258
52,SZ-171-018,SOUTH,171,28.532839,77.153849,LED,1,80,80,80,,SZ-183-006,3360
53,SZ-171-018,SOUTH,171,28.533314,77.154007,LED,1,72,72,72,,SZ-184-001,4305
54,SZ-171-018,SOUTH,171,28.533426,77.15413,LED,1,72,72,72,,SZ-184-005,1235
55,SZ-171-018,SOUTH,171,28.533398,77.154239,LED,1,72,72,72,,SZ-184-007,3040
1,SZ-171-019,SOUTH,171,28.532667,77.153223,LED,1,80,80,80,,SZ-184-009,5895
2,SZ-171-019,SOUTH,171,28.53274,77.153316,LED,1,80,80,80,,SZ-184-012,7235
3,SZ-171-019,SOUTH,171,28.532825,77.153547,LED,1,80,80,80,,SZ-184-014,3228
4,SZ-171-019,SOUTH,171,28.532904,77.153594,LED,1,80,80,80,,SZ-184-017,1989
5,SZ-171-019,SOUTH,171,28.532988,77.153668,LED,1,70,70,70,,SZ-184-018,4880
6,SZ-171-019,SOUTH,171,28.533105,77.15378,LED,1,35,35,35,,SZ-189-003,5210
8,SZ-171-019,SOUTH,171,28.533388,77.153597,LED,1,70,70,70,,SZ-189-005,2010
9,SZ-171-019,SOUTH,171,28.533568,77.153335,LED,1,35,35,35,,SZ-189-010,6459
10,SZ-171-019,SOUTH,171,28.533661,77.153406,LED,1,35,35,35,,SZ-189-011,2185
11,SZ-171-019,SOUTH,171,28.533756,77.15325,LED,1,70,70,70,,SZ-189-027,3848
12,SZ-171-019,SOUTH,171,28.53384,77.153098,LED,1,70,70,70,,SZ-189-028,5680
13,SZ-171-019,SOUTH,171,28.533996,77.153206,LED,1,70,70,70,,SZ-189-029,2960
14,SZ-171-019,SOUTH,171,28.533946,77.153134,LED,1,70,70,70,,SZ-191-001,7120
15,SZ-171-019,SOUTH,171,28.533844,77.153046,LED,1,70,70,70,,SZ-191-006,5018
16,SZ-171-019,SOUTH,171,28.533718,77.152976,LED,1,72,72,72,,SZ-191-007,2733
17,SZ-171-019,SOUTH,171,28.533526,77.1528,LED,1,72,72,72,,SZ-191-008,5620
18,SZ-171-019,SOUTH,171,28.533359,77.152563,LED,1,72,72,72,,SZ-191-009,5632
19,SZ-171-019,SOUTH,171,28.533175,77.152533,LED,1,72,72,72,,SZ-191-012,3040
20,SZ-171-019,SOUTH,171,28.533056,77.15255,LED,1,72,72,72,,SZ-191-022,6390
21,SZ-171-019,SOUTH,171,28.53314,77.152695,LED,1,80,80,80,,SZ-191-024,1066
22,SZ-171-019,SOUTH,171,28.533125,77.152827,LED,1,80,80,80,,Grand Total,837173
23,SZ-171-019,SOUTH,171,28.533264,77.152908,LED,1,80,80,80,,,
24,SZ-171-019,SOUTH,171,28.533399,77.152867,LED,1,80,80,80,,,
25,SZ-171-019,SOUTH,171,28.533416,77.152982,LED,1,80,80,80,,,
26,SZ-171-019,SOUTH,171,28.533554,77.153307,LED,1,80,80,80,,,
27,SZ-171-019,SOUTH,171,28.533495,77.153425,LED,1,80,80,80,,,
28,SZ-171-019,SOUTH,171,28.533423,77.153496,LED,1,80,80,80,,,
29,SZ-171-019,SOUTH,171,28.533522,77.153713,LED,1,80,80,80,,,
30,SZ-171-019,SOUTH,171,28.533693,77.153771,LED,1,80,80,80,,,
31,SZ-171-019,SOUTH,171,28.533595,77.153858,LED,1,80,80,80,,,
32,SZ-171-019,SOUTH,171,28.533489,77.153956,LED,1,80,80,80,,,
33,SZ-171-019,SOUTH,171,28.533377,77.153934,LED,1,80,80,80,,,
34,SZ-171-019,SOUTH,171,28.533078,77.15369,LED,1,70,70,70,,,
35,SZ-171-019,SOUTH,171,28.533181,77.153411,LED,1,70,70,70,,,
36,SZ-171-019,SOUTH,171,28.533342,77.153124,LED,1,70,70,70,,,
37,SZ-171-019,SOUTH,171,28.53302,77.153081,LED,1,70,70,70,,,
38,SZ-171-019,SOUTH,171,28.532917,77.153115,LED,1,70,70,70,,,
39,SZ-171-019,SOUTH,171,28.532833,77.153335,LED,1,35,35,35,,,
40,SZ-171-019,SOUTH,171,28.532521,77.153206,LED,1,70,70,70,,,
41,SZ-171-019,SOUTH,171,28.532591,77.153067,LED,1,70,70,70,,,
42,SZ-171-019,SOUTH,171,28.532646,77.153039,LED,1,70,70,70,,,
43,SZ-171-019,SOUTH,171,28.532809,77.153021,LED,1,70,70,70,,,
44,SZ-171-019,SOUTH,171,28.533007,77.153104,LED,1,70,70,70,,,
45,SZ-171-019,SOUTH,171,28.53307,77.152928,LED,1,70,70,70,,,
46,SZ-171-019,SOUTH,171,28.533136,77.152978,LED,1,70,70,70,,,
47,SZ-171-019,SOUTH,171,28.533311,77.153104,LED,1,35,35,35,,,
48,SZ-171-019,SOUTH,171,28.533227,77.153205,LED,1,35,35,35,,,
49,SZ-171-019,SOUTH,171,28.533169,77.153322,LED,1,70,70,70,,,
50,SZ-171-019,SOUTH,171,28.533146,77.153497,LED,1,72,72,72,,,
51,SZ-171-019,SOUTH,171,28.532992,77.153489,LED,1,72,72,72,,,
52,SZ-171-019,SOUTH,171,28.53316,77.153587,LED,1,72,72,72,,,
53,SZ-171-019,SOUTH,171,28.533297,77.153688,LED,1,72,72,72,,,
54,SZ-171-019,SOUTH,171,28.533466,77.153868,LED,1,72,72,72,,,
1,SZ-171-016,SOUTH,171,28.531502,77.153157,LED,1,70,70,70,,,
2,SZ-171-016,SOUTH,171,28.531539,77.153144,LED,1,70,70,70,,,
3,SZ-171-016,SOUTH,171,28.531704,77.153077,LED,1,70,70,70,,,
4,SZ-171-016,SOUTH,171,28.531641,77.153058,LED,1,70,70,70,,,
5,SZ-171-016,SOUTH,171,28.531628,77.152998,LED,1,35,35,35,,,
6,SZ-171-016,SOUTH,171,28.531513,77.152885,LED,1,35,35,35,,,
7,SZ-171-016,SOUTH,171,28.531433,77.152942,LED,1,35,35,35,,,
8,SZ-171-016,SOUTH,171,28.531412,77.152989,LED,1,35,35,35,,,
9,SZ-171-016,SOUTH,171,28.531355,77.152834,LED,2,70X2,70,140,,,
10,SZ-171-016,SOUTH,171,28.531339,77.152687,LED,1,70,70,70,,,
11,SZ-171-016,SOUTH,171,28.531306,77.15251,LED,1,70,70,70,,,
12,SZ-171-016,SOUTH,171,28.53127,77.15233,LED,1,70,70,70,,,
13,SZ-171-016,SOUTH,171,28.531231,77.152177,LED,1,70,70,70,,,
14,SZ-171-016,SOUTH,171,28.531215,77.151908,LED,1,80,80,80,,,
15,SZ-171-016,SOUTH,171,28.531185,77.151702,LED,1,80,80,80,,,
16,SZ-171-016,SOUTH,171,28.53116,77.151468,LED,1,80,80,80,,,
17,SZ-171-016,SOUTH,171,28.531206,77.151494,LED,1,80,80,80,,,
18,SZ-171-016,SOUTH,171,28.531225,77.151715,LED,1,80,80,80,,,
19,SZ-171-016,SOUTH,171,28.531186,77.151901,LED,1,80,80,80,,,
20,SZ-171-016,SOUTH,171,28.531245,77.152027,LED,1,80,80,80,,,
21,SZ-171-016,SOUTH,171,28.53132,77.152117,LED,1,80,80,80,,,
22,SZ-171-016,SOUTH,171,28.531349,77.15221,LED,1,80,80,80,,,
23,SZ-171-016,SOUTH,171,28.531382,77.152123,LED,1,80,80,80,,,
24,SZ-171-016,SOUTH,171,28.531466,77.152077,LED,1,80,80,80,,,
25,SZ-171-016,SOUTH,171,28.531475,77.152109,LED,1,70,70,70,,,
26,SZ-171-016,SOUTH,171,28.531422,77.152223,LED,1,70,70,70,,,
27,SZ-171-016,SOUTH,171,28.531362,77.152292,LED,1,70,70,70,,,
28,SZ-171-016,SOUTH,171,28.531319,77.152371,LED,2,70X2,70,140,,,
29,SZ-171-016,SOUTH,171,28.531316,77.1525,LED,1,70,70,70,,,
30,SZ-171-016,SOUTH,171,28.531449,77.152632,LED,1,70,70,70,,,
31,SZ-171-016,SOUTH,171,28.531561,77.152644,LED,1,70,70,70,,,
32,SZ-171-016,SOUTH,171,28.531589,77.152648,LED,1,70,70,70,,,
33,SZ-171-016,SOUTH,171,28.531703,77.152476,LED,1,70,70,70,,,
34,SZ-171-016,SOUTH,171,28.531805,77.152315,LED,1,70,70,70,,,
35,SZ-171-016,SOUTH,171,28.531869,77.152085,LED,1,70,70,70,,,
36,SZ-171-016,SOUTH,171,28.531965,77.151984,LED,1,70,70,70,,,
37,SZ-171-016,SOUTH,171,28.532029,77.151923,LED,1,70,70,70,,,
38,SZ-171-016,SOUTH,171,28.532068,77.151811,LED,1,70,70,70,,,
39,SZ-171-016,SOUTH,171,28.532131,77.151603,LED,1,70,70,70,,,
40,SZ-171-016,SOUTH,171,28.532194,77.151371,LED,1,70,70,70,,,
41,SZ-171-016,SOUTH,171,28.532289,77.151408,LED,1,70,70,70,,,
42,SZ-171-016,SOUTH,171,28.532388,77.151413,LED,1,70,70,70,,,
43,SZ-171-016,SOUTH,171,28.532491,77.15142,LED,1,72,72,72,,,
44,SZ-171-016,SOUTH,171,28.532474,77.151528,LED,1,72,72,72,,,
45,SZ-171-016,SOUTH,171,28.532421,77.1516,LED,1,72,72,72,,,
46,SZ-171-016,SOUTH,171,28.532482,77.151677,LED,1,72,72,72,,,
47,SZ-171-016,SOUTH,171,28.532488,77.15185,LED,1,72,72,72,,,
48,SZ-171-016,SOUTH,171,28.532607,77.151975,LED,1,72,72,72,,,
49,SZ-171-016,SOUTH,171,28.532595,77.152122,LED,1,72,72,72,,,
50,SZ-171-016,SOUTH,171,28.532566,77.15226,LED,4,72X4,72,288,,,
51,SZ-171-016,SOUTH,171,28.532556,77.152318,LED,1,72,72,72,,,
52,SZ-171-016,SOUTH,171,28.532491,77.152391,LED,1,72,72,72,,,
53,SZ-171-016,SOUTH,171,28.532372,77.152387,LED,1,72,72,72,,,
54,SZ-171-016,SOUTH,171,28.532329,77.152385,LED,1,35,35,35,,,
55,SZ-171-016,SOUTH,171,28.532262,77.152325,LED,1,35,35,35,,,
56,SZ-171-016,SOUTH,171,28.532103,77.15218,LED,1,35,35,35,,,
57,SZ-171-016,SOUTH,171,28.531917,77.152156,LED,1,35,35,35,,,
58,SZ-171-016,SOUTH,171,28.531852,77.152123,LED,1,35,35,35,,,
60,SZ-171-016,SOUTH,171,28.531677,77.151756,LED,1,20,20,20,,,
